activity_id,access_seq,week,eclo,access_night
A001,1,20,0,1
A001,2,21,0,1
A002,1,0,0,1
A003,1,10,0,1
A003,2,11,0,1
A004,1,15,0,1
A004,2,17,0,1
A004,3,19,0,1
A006,1,8,0,1
A006,2,9,0,1
A007,1,27,0,1
A007,2,28,0,1
A007,3,29,0,1
A008,1,17,1,1
A008,2,18,1,1
A008,3,23,0,1
A008,4,24,0,1
A008,5,25,0,1
A009,1,8,0,1
A009,2,9,0,1
A009,3,10,0,1
A009,4,11,0,1
A009,5,12,0,1
A009,6,13,0,1
A009,7,14,0,1
A011,1,17,0,1
A011,2,18,0,1
A012,1,2,1,1
A012,2,3,1,1
A012,3,4,0,1
A012,4,5,0,1
A012,5,6,0,1
A012,6,7,0,1
A012,7,11,0,1
A013,1,21,0,1
A013,2,22,0,1
A013,3,23,0,1
A013,4,24,0,1
A013,5,25,0,1
A014,1,12,0,1
A014,2,13,0,1
A014,3,14,0,1
A014,4,15,0,1
A014,5,16,0,1
A014,6,18,0,1
A014,7,20,0,1
A017,1,16,0,1
A017,2,17,0,1
A017,3,18,0,1
A017,4,21,0,1
A017,5,22,0,1
A017,6,23,0,1
A017,7,25,0,1
A019,1,10,0,1
A019,2,11,0,1
A020,1,12,0,1
A020,2,17,0,1
A021,1,26,0,1
A021,2,27,0,1
A021,3,28,0,1
A023,1,22,0,1
A023,2,23,0,1
A023,3,24,0,1
A023,4,25,0,1
A023,5,26,0,1
A023,6,27,0,1
A023,7,28,0,1
A025,1,22,0,1
A025,2,23,0,1
A025,3,24,0,1
A025,4,25,0,1
A025,5,26,0,1
A025,6,27,0,1
A025,7,28,0,1
A028,1,9,0,1
A028,2,10,0,1
A031,1,9,0,1
A031,2,10,0,1
A035,1,4,0,1
A035,2,5,0,1
A035,3,6,0,1
A036,1,21,0,1
A036,2,22,0,1
A036,3,23,0,1
A036,4,24,0,1
A036,5,25,0,1
A036,6,26,0,1
A036,7,27,0,1
A037,1,15,0,1
A037,2,17,0,1
A038,1,19,0,1
A038,2,24,0,1
A038,3,25,0,1
A039,1,14,0,1
A039,2,15,0,1
A039,3,16,0,1
A039,4,17,0,1
A039,5,18,0,1
A039,6,19,0,1
A039,7,20,0,1
A040,1,12,0,1
A040,2,13,0,1
A040,3,14,0,1
A040,4,15,0,1
A040,5,19,0,1
A040,6,24,0,1
A040,7,26,0,1
A041,1,10,0,1
A041,2,11,0,1
A042,1,23,0,1
A042,2,25,0,1
A042,3,26,0,1
A046,1,8,0,1
A046,2,9,0,1
A046,3,10,0,1
A046,4,11,0,1
A046,5,16,0,1
A047,1,12,0,1
A047,2,13,0,1
A048,1,4,0,1
A048,2,5,0,1
A048,3,6,0,1
A049,1,10,0,1
A049,2,23,0,1
A049,3,24,0,1
A049,4,25,0,1
A049,5,27,0,1
A050,1,19,0,1
A050,2,21,0,1
A051,1,26,0,1
A051,2,27,0,1
A054,1,21,0,1
A054,2,24,0,1
A055,1,20,0,1
A056,1,19,0,1
A056,2,20,0,1
A057,1,15,0,1
A057,2,16,0,1
A057,3,19,0,1
A057,4,20,0,1
A057,5,22,0,1
A057,6,27,0,1
A057,7,28,0,1
A058,1,1,0,1
A058,2,2,0,1
A058,3,4,0,1
A058,4,14,0,1
A058,5,15,0,1
A058,6,16,0,1
A058,7,18,0,1
A059,1,13,0,1
A059,2,14,0,1
A059,3,15,0,1
A059,4,16,0,1
A059,5,17,0,1
A059,6,18,0,1
A059,7,19,0,1
A060,1,12,0,1
A060,2,13,0,1
A060,3,14,0,1
A061,1,3,0,1
A061,2,4,0,1
A061,3,5,0,1
A061,4,6,0,1
A061,5,7,0,1
A061,6,8,0,1
A061,7,9,0,1
A064,1,15,0,1
A065,1,18,0,1
A066,1,26,0,1
A069,1,23,0,1
A069,2,25,0,1
A070,1,10,0,1
A070,2,11,0,1
A070,3,13,0,1
A070,4,22,0,1
A070,5,24,0,1
A071,1,24,0,1
A072,1,22,0,1
A074,1,20,0,1
